feature,media,desvio,coef
zs,0.836276,0.548117,0.317396
zvel,0.2892,0.520756,-0.088382
vel,7.77755,14.041791,-0.043696
acel,5.676939,25.917648,-0.01642
zmov,0.000504,0.999322,0.122806
zhist,-0.005809,1.180584,-0.006475
cesta,0.764245,0.181649,0.242093
mtf,2.913547,0.879155,0.124421
hora,0.531649,0.260911,-0.557324
min_sessao,0.610749,0.261333,-0.054429
alin_MN1,0.505671,0.499968,-0.113431
alin_W1,0.504983,0.499976,0.078104
alin_D1,0.439879,0.496373,-0.160426
alin_H4,0.606155,0.488602,0.258546
_intercepto,0.0,1.0,-4.990688
_corte_p97,0.0,1.0,0.034036
